PLAYER,TEAM,GP,W,L,MP,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH, PTS PER TOUCH, ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH, PTS PER PAINT TOUCH,SEASON
Aaron Brooks,DENVER NUGGETS,72,42,30,21.6,9.0,39.7,15.0,3.4,5.06,5.32,0.226,0.3,0.0,0.7,0.0,0.0,0.36,2014
Aaron Gray,SACRAMENTO KINGS,36,11,25,9.7,1.7,14.0,7.4,0.4,1.65,0.4,0.121,1.6,0.4,2.0,0.102,0.308,0.592,2014
Adonis Thomas,PHILADELPHIA 76ERS,6,2,4,6.3,2.3,6.3,4.7,0.2,2.08,1.05,0.368,0.0,0.2,0.0,0.0,2.0,0.0,2014
Al Harrington,WASHINGTON WIZARDS,33,20,13,15.0,6.6,24.9,15.1,0.6,1.47,0.58,0.264,0.7,0.6,1.2,0.5,0.2,0.707,2014
Al Horford,ATLANTA HAWKS,29,16,13,33.0,18.6,63.0,40.6,1.8,1.75,0.49,0.295,6.7,7.1,7.7,0.436,0.51,0.869,2014
Al Jefferson,,72,37,35,35.0,21.8,49.7,38.6,1.9,2.34,0.59,0.439,5.2,19.8,7.5,0.493,0.57,0.907,2014
Al-Farouq Aminu,NEW ORLEANS PELICANS,80,33,47,25.6,7.2,31.5,21.4,1.1,2.11,1.03,0.227,1.4,0.5,3.1,0.389,0.378,0.761,2014
Alan Anderson,,77,42,35,22.7,7.1,26.8,16.9,1.3,2.81,1.83,0.267,0.3,0.2,0.6,0.45,0.368,0.551,2014
Alec Burks,UTAH JAZZ,78,24,54,28.1,14.0,53.6,37.8,3.0,3.39,2.78,0.26,1.5,0.1,1.4,0.649,1.1,1.177,2014
Alex Len,,42,24,18,8.6,2.0,11.8,5.4,0.3,1.49,0.26,0.174,0.7,0.7,2.1,0.29,0.419,0.733,2014
Alexey Shved,MINNESOTA TIMBERWOLVES,63,28,35,10.5,4.0,16.3,9.8,1.0,3.75,3.27,0.243,0.2,0.0,0.4,0.571,0.0,0.696,2014
Alexis Ajinca,NEW ORLEANS PELICANS,56,22,34,17.0,5.9,26.9,13.0,0.7,1.67,0.37,0.217,3.4,0.9,4.1,0.354,0.188,0.917,2014
Allen Crabbe,PORTLAND TRAIL BLAZERS,15,12,3,6.7,2.2,8.8,6.8,0.2,1.63,0.77,0.25,0.2,0.0,0.3,0.667,0.0,0.8,2014
Alonzo Gee,CLEVELAND CAVALIERS,65,29,36,15.7,4.0,20.3,15.4,0.7,2.1,1.24,0.196,0.2,0.1,1.0,0.2,0.0,1.031,2014
Amar'e Stoudemire,NEW YORK KNICKS,65,26,39,22.6,11.9,29.8,19.3,1.0,1.99,0.54,0.399,2.9,5.2,3.8,0.594,0.639,0.826,2014
Amir Johnson,TORONTO RAPTORS,76,42,34,28.7,10.4,47.7,29.4,1.1,1.42,0.4,0.217,3.9,1.2,6.1,0.553,0.435,0.864,2014
Anderson Varejao,CLEVELAND CAVALIERS,65,25,40,27.7,8.4,51.4,27.1,1.4,1.68,0.48,0.163,6.5,1.2,5.6,0.308,0.377,0.556,2014
Andray Blatche,,72,39,33,22.1,11.1,39.2,24.8,1.3,2.03,0.76,0.284,3.4,3.1,4.3,0.298,0.529,0.805,2014
Andre Drummond,DETROIT PISTONS,81,29,52,32.3,13.5,38.8,18.0,0.9,1.4,0.38,0.349,1.7,1.6,11.6,0.422,0.511,0.949,2014
Andre Iguodala,GOLDEN STATE WARRIORS,63,41,22,32.4,9.3,44.1,23.1,2.9,3.88,3.17,0.212,0.7,1.3,1.9,0.532,0.463,0.709,2014
Andre Miller,WASHINGTON WIZARDS,57,32,25,17.0,4.9,35.4,15.1,3.0,5.0,4.56,0.137,0.5,1.6,0.9,0.483,0.344,0.423,2014
Andre Roberson,OKLAHOMA CITY THUNDER,40,30,10,10.0,1.9,9.6,6.8,0.3,1.7,0.66,0.196,0.4,0.1,1.5,0.235,0.667,0.746,2014
Andrea Bargnani,NEW YORK KNICKS,42,15,27,29.9,13.3,44.4,29.0,1.2,1.63,0.46,0.3,3.6,2.3,3.5,0.719,0.411,0.877,2014
Andrei Kirilenko,,44,29,15,19.0,5.0,25.5,16.4,0.9,2.15,0.73,0.198,2.2,0.8,3.2,0.344,0.273,0.827,2014
Andrew Bogut,GOLDEN STATE WARRIORS,66,39,27,26.4,7.4,39.3,18.2,1.1,1.75,0.65,0.187,1.9,0.7,6.2,0.512,0.592,0.876,2014
